0,1,2,3,4
,STANDALONE |,CONSOLIDATED,,
,As at,As at,As at,As at
Particulars,31.03.2018,31.03.2017,31.03.2018,31.03.2017
,Audited,Audited,Audited,Audited
ASSETS(1) Non-current assets,,,,ii
"(a) Property, plant and equipment",57156.09,48762.03,57169.57,48776.83
(b) Capital work-in-progress,18395.43,23275.39,18395.43,23275.39
(c) Investment property,0.83,0.86,0.83,0.86
(d) Intangible assets,1454.63,1522.58,1455.03,1522.58
(e) Investments accounted for using the equity method,-,-,2555.01,2410.41
(f) Financial Assets,,,,
{i} Investments,1491.30,1395.48,73.85,65.05
(ii) Loans,451.46,453.52,451.46,453.52
(iii) Other financial assets,166.18,262.42,162.64,257.68
(g) Deferred tax assets (net),4185.27,4005.84,4161.98,3848.75
(h) Current tax assets (net),190.31,235.81,190.39,235.81
(i) Other non-current assets,1060.10,1080.12,1060.10,1062.99
Total non-current assets,84551.60,80994.05,85676.29,81909.87
(2) Current assets,,,,
(a) Inventories,16996.67,15711.35,17024.30,15736.09
(b) Financial Assets,,,,
(i) Trade receivables,3869.94,2921.69,3870.99,2934.69
(ii) Cash and cash equivalents,79.45,120.93,94.00,140.64
(ili) Other bank balances,174.61,168.16,251.55,238.19
(iv) Loans,63.41,61.47,63.92,72.73
(v) Other financial assets,2787.20,2267.85,2787.64,2268.18
(c) Other current assets,5634.42,4282.03,5639.78,4302.92
,29605.70,25533.48,29732.18,25693.43
Assets classified as held for sale,32.50,11.94,32.50,11.94
Total current assets,29638.20,25545.42,29764.68,25705.37
TOTALASSETS,114189.80,106539.47,115440.97,107615.24
EQUITY AND LIABILITIES(1) Equity,,,,
(a) Equity share capital,4130.53,4130.53,4130.53,4130.53
(b) Other equity,31583.14,31878.53,32816.12,32911.73
(c) Non-controlling interest,-,-,0.01,0.01
Total equity,35713.67,36009.06,36946.66,37042.27
(2) Non-current liabilities(a) Financial Liabilities,,,,
(i) Borrowings,29777.16,19087.48,29777.16,19087.48
(ii) Trade payables,6.38,7.36,6.38,7.36
(iii) Other financial liabilities,1179.36,1365.93,1179.36,1365.93
(b) Provisions,3561.81,3593.94,3562.96,3596.40
(c) Other non-current liabilities,138.33,151.29,138.33,151.29
Total non-current liabilities,34663.04,24206.00,34664.19,24208.46
(3) Current liabilities(a) Financial Liabilities,,,,
(i) Borrowings,12244.32,19813.04,12244.32I,19813.04
(ii) Trade payables,7540.50,5219.20,7526.64,5218.41
(iii) Other financial liabilities,14170.20,12765.62,14190.32,12781.96
(b) Other current liabilities,7142.42,5607.26,7144.75,5609.56
(c) Provisions,2715.65,2914.77,2724.09,2924.87
(d) Current tax liabilities (net),!i,4.52,-,16.67
Total current liabilities,43813.09,46324.41,43830.12,46364.51
"â€¢N ,jy- TOTAL EQUITY AND LIABILITIES /",,\ 106539.47,115440.97,
