0,1,2,3,4,5
,Standalone,Consolidated,,,
,,As at Mar,As at Mar,AS at Mar,As at Mar
,Particulars,"31,2018","31,2017","31,2018","31,2010"
,A5SETS,,,,
(i),Nan-current assets,,,,
,"(a) Property, Plant and Equipment",55.993.7S,"59,366.61","56,371,11","59,727.83"
,(b) Capital work-in-progress,1.740.23,376.25,"1,748.23","376,25"
,(cj Goad will,*,-,5(314.00,"5,314.00"
,(d) Other Intangible assets,997.01,"1,502.41","2,265.23","2,983.40"
,[e> Financial Assets,,,.,
,(f) Investments,"18,292.47","31,888.88","4,995.79","18,584.28"
,(ii) Trade receivables,,,.,
,(ii) Loans,332.67,328.94,332.67,328.94
,(iv) Others,344.18,350.26,344.10,350.26
,(f) Other non-current assets,426.88,338.76,426.08,330.76
,TOTAL non current assets,"78,126.32","94,136.11","71,789.21","87,914.84"
