0,1,2,3,4,5
SL.No.,Particulars,Standalone as at,Consolid,ated as at,
31.03.2018(Audited),31.03.2017(Audited),31.03.2018(Audited),31.03.2017(Audited),,
A.(1),"ASSETSNon-Current Assetsa)    Property, Plant and Equipmentb)    Capital Work-in-progressc)    Goodwilld)    Other Intangible assetse)    Intangible Assets underdevelopmentf)    Investment in Joint Ventureg)    Financial Assetsi.    Investmentsii.    Loansiii.    Other financial assetsh)    Deferred tax assets (net)i)    Income tax assets (net)j)    Other Non-Current Assets",116537.55412857.92399.4512.6029125.2593.78305.535598.684779.62,109508.25170587.91376.1095.8829125.25123.61350.715100.126987.92,116629.12412857.923407.133351.35604.9520705.602.4893.78804.88128.625598.684834.98,109569.72170587.913390.143242.49631.8817355.222.48123.61828.9735.195667.747291.55
Total Non-Current Assets,569710.38,322255.75,569019.49,318726.90,
(2),Current Assetsa)    Inventoriesb)    Financial Assetsi.    Trade Receivablesii.    Cash and Cash Equivalentsiii.    Bank balances other than (ii) aboveiv.    Loansv.    Other financial assetsc)    Income tax assets (net)d)    Other Current Assetse)    Assets classified as held for sale,79510.48251569.525481.641440.4423.9223023.821966.5112469.7040.35,84935.25302314.648529.031877.9732.2712697.772247.258492.2961366.51,79510.48253469.276291.941472.5630.9423462.491967.2412690.1640.35,84935.25303619.8810944.072269.6632.2712833.432247.408738.5161366.51
Total Current Assets,375526.38,482492.98,378935.43,486986.98,
Total Assets,945236.76,804748.73,947954.92,805713.88,
B(1),EQUITY AND LIABILITIESEquitya)    Equity Share Capitalb)Other Equity,41620.79248221.15,41620.79211903.40,41620.79208934.73,41620.79170732.77
Total Equity attributable to the Equity Holdersof the Parent Company,289841.94,253524.19,250555.52,212353.56,
,Non-Controlling Interest,-,-,(8735.83),(8256.85)
,Total EquityffnfY|K\%Vt,289841.94,253524.19,241819.69,204096.71
