0,1,2
Particulars,As at,As at
March 312018,March 312017,
(Audited),(Audited),
ASSETS,,
Non-current assets,,
"(a) Property, plant and equipment",346983,339251
(b) Capital work-in-progress,33036,43119
(c) Investment property,24677,24333
(d) Other Intangible assets,39493,36110
(e) Intangible assets under development,4607,6529
(f) Financial assets,,
(i) Investments,404857,456692
(ii) Loans,-,12
(iii) Other financial assets,10693,29831
(g) Deferred tax assets (net),17842,9250
(h) Advance tax (net),156769,140631
(i) Other assets,24665,25044
Total Non-current assets,1063622,1110802
Current assets,,
(a) Inventories,2393,1483
(b) Financial assets,,
(i) Other investments,16201,79930
(ii) Trade receivables,115927,80698
(iii) Cash and cash equivalents,61182,8693
(iv) Other bank balances,321,1486
(v) Other financial assets,18770,11861
(c) Other assets,11582,19243
,226376,203394
Assets classified as held for sale,277,332
Total Current assets,226653,203726
TOTAL ASSETS,1290275,1314528
