0,1,2,3
,Particulars,As at,
"March 31, 2018","March 31, 2017",,
Audited,Audited,,
A,ASSETS,,
1,Non-current assets,,
,"(a) Property, plant and equipment","2,109.81","2,428.13"
,(b) Capital work-in-progress,24.48,6.55
,(c) Investment property,102.00,102.00
,(d) Financial assets,,
,(i) Investments in subsidiaries and associate,"7,780.49","7,549.57"
,(ii) Other non-current financial assets,523.17,550.17
,(e) Deferred tax assets (net),"1,053.11","1,102.19"
,(f) Income tax assets (net),"5,794.41","5,680.53"
,(g) Other non-current assets,672.81,713.52
,,"18,060.28","18,132.66"
2,Current assets,,
,(a) Financial assets,,
,(i) Trade receivables,"6,317.93","5,075.12"
,(ii) Cash and cash equivalents,"2,111.89","20,990.75"
,(iii) Other bank balances,"16,689.01","3,385.97"
,(iv) Other current financial assets,"2,971.79","3,069.48"
,(b) Other current assets,356.09,369.22
,,"28,446.71","32,890.54"
,TOTAL - ASSETS,"46,506.99","51,023.20"
