0,1,2,3,4
"CASH FLOW STATEMENT FOR THE YEAR ENDED 31ST MARCH, 2016",,,,
Particulars,Year Ended 31.03.2016Rs.,Year Ended 31.03.2015Rs.,,
A.,Cash Flow from Operating Activities,,,
,Net Profit/(Loss) before Tax and Extraordinary Income,"926,447",,"1,480,908"
,Adjustments for:,-,,-
,Provision for Income Tax,-,,
,Depreciation & Amortization expense,-,,-
,Operating Profit/(Loss) Before Working Capital Changes:,"926,447",,"1,480,908"
,Working Capital Changes(Increase)/decrease in Trade Receivables,,,
,(Increase)/decrease in Inventories,-,,-
,(Increase)/decrease in Other Receivables,-,,-
,(Increase)/decrease in Other current Assets,"(2,574,343)",,"136,460"
,Increase/(decrease) in Short Term Provisions,"(99,144)",,"(805,000)"
,Increase/(decrease) in Other Current Liabilities,"(19,066)",,"(1,142,220)"
,Increase/(decrease) in Trade Payables,-,,-
,Net Cash From Operating Activities before Income Tax,"(2,692,553)",,"(1,810,760)"
,Less: Income Tax paid during the Year,"(100,000)",,"(470,000)"
,Net Cash From Operating Activities,"(1,666,106)","140,148",
B.,Cash Flow From Investing Activities:(Increase)/decrease in Fixed Assets,,,"66,857"
,(Increase)/decrease in Short Term Loans & Advances,"322,781,008",,"(22,309,845)"
,(Increase)decrease in Investments,"31,551,110",,"23,141,785"
,(Increase)decrease in Long Term Loans & Advances,"(350,040,102)",,-
,Net Cash from Investing Activities,"4,292,016","898,797",
C.,Cash Flow From Financing Activities:Transfer to Reserves,"(1,690,752)",,"(2,059,636)"
,Increase/(decrease) in Long Term Borrowings,"1,005,574",,-
,Increase/(decrease) in Lond term provisions,"(776,814)",,"405,958"
,Net Cash used in Financing Activities,"(1,461,992)","(1,653,678)",
,,,,
,Net Increase/(Decrease) in Cash and Cash equivalents,"1,163,917","(614,733)",
D.,Cash and Cash Equivalents:Opening Balance,"480,819",,"1,095,552"
,Closing Balance,"1,644,736",,"480,819"
,As per the Report of even date attached.,,,
,For Shah Parmar & Mehta,FOR AND ON BEHALF OF THE BOARD OF DIRECTORS,,
,Chartered Accountants,,,
,Firm No. 141689W,,,
,Sd/-,Sd/-,Sd/-,
,(Sanjay Shah),Pritesh Solanki,PrafulChandra Zaveri,
,Partner,Director,Director,
,Membership No: 116251,DIN:07073650,DIN:07073660,
,Place :MumbaiDate : 30/05/2016,,,
