0,1,2
Particulars,"Year ended 31st March, 2018","Year ended 31st March, 2017"
CASH FLOW FROM FINANCING ACTIVITIES:,,
Inflows,,
Proceeds from long-term borrowings,41444.00,-
Proceeds of short term borrowings (net),(6441.24),27420.60
,35002.76,27420.60
Outflows,,
Repayment of long term borrowings,(31806.10),(26076.18)
Dividend paid,(751.53),(1816.67)
Dividend distribution tax,(156.20),(374.91)
Interest paid,(13880.62),(15750.29)
,(46594.45),(44018.05)
Net cash (used in) financing activities,(11591.69),(16597.45)
NET INCREASE/(DECREASE) IN CASH AND BANK BALANCES,1954.68,(174.16)
Add: Cash and cash equivalence at beginning of the year,675.23,849.39
Cash and cash equivalence at end of the year,2629.91,675.23
,,
Cash and Cash equivalent as per above comprises of the following,,
,,
Cash and Cash Equivalents (Refer Note 12),2679.55,806.72
Bank Overdrafts (Refer Note 22),(49.64),(131.49)
Balances as per statement of Cash Flows,2629.91,675.23
