0,1,2,3
Particulars,"For the year endedDecember 31, 2017 Rupees in Crores","For the year endedDecember 31, 2016 Rupees in Crores",
Cash flow from financing activities,,,
Dividend paid,,(544.01),(469.83)
Dividend distribution tax paid,,(110.76),(95.65)
Interest paid,,(1.01),(1.74)
unclaimed dividend account,,(0.96),(0.81)
Net cash flow used in financing activities,(C),(656.74),(568.03)
Net increase/(decrease) in cash and cash equivalents,(A+B+C),103.89,63.11
Cash and cash equivalents at the beginning of the year,,111.58,48.47
Cash and cash equivalents at the end of the year,,215.47,111.58
Components of cash and cash equivalents,,,
Cash on hand,,0.01,0.01
On current accounts,,23.99,9.43
Deposits with banks,,190.76,101.17
Cheques on hand,,0.71,0.97
Total cash and cash equivalents (note 4.4),,215.47,111.58
