0,1,2
,"Year endedDecember 31, 2017(')","Year endedDecember 31, 2016(')"
A. CASH FLOW FROM OPERATING ACTIVITIES:,,
Profit Before Taxation,"39,24,98,306","33,97,83,095"
Adjustments for:,,
Depreciation / Amortisation,"5,98,07,208","5,12,53,503"
Finance Cost,"13,43,769","30,56,205"
Interest Income,"(1,90,16,265)","(2,47,42,341)"
Unrealised Foreign Exchange Loss,"8,21,936","1,48,744"
(Profit) / Loss on sale of assets,"(16,763)","1,53,872"
Provision for Other Liabilitie s,"24,18,463","21,89,936"
"Provision for doubtful trade and other receivables, loans and",,
advances,-,"50,05,326"
Provision for Warranty,-,"1,61,62,647"
Liabilities/Provisio n no longer required written back,"(55,79,674)",-
Operating Profit Before Working Capital Changes,"43,22,76,980","39,30,10,987"
Adjustments For Changes In Working Capital:,,
(Increase) / Decrease In Inventories,"5,13,31,820","(8,77,87,489)"
(Increase) In Other non-current assets,"(1,02,65,160)",-
(Increase) / Decrease In Long term loans and advances,"3,80,811","(10,88,564)"
(Increase) / Decrease In Trade receivables,"(8,77,11,343)","3,68,13,212"
(Increase) / Decrease In Short term Loans and Advances,"1,55,38,577","(44,42,395)"
(Increase) / Decrease In Other current assets,"2,33,367","(55,90,090)"
(Decrease) / Increase In Trade and Other Payables,"(6,60,59,516)","5,08,31,316"
Cash Generated From Operations,"33,57,25,536","38,17,46,977"
Direct Taxes Refund / (Paid) (Net),"(13,51,39,385)","(12,81,86,532)"
A. Net Cash From Operating Activities,"20,05,86,151","25,35,60,445"
B. CASH FLOW FROM INVESTING ACTIVITIES:,,
Purchase of Fixed Assets,"(16,08,62,805)","(7,33,15,179)"
Proceeds from Sale of Fixed Assets,"3,20,599","3,26,709"
Purchase of Investments,"(31,06,085)","(1,05,83,354)"
Investments in Bank Deposits,"7,03,00,000","(12,44,00,000)"
Interest Income,"2,54,62,874","1,91,84,851"
B. Net Cash Generated / (Used In) Investing Activities,"(6,78,85,417)","(18,87,86,973)"
