0,1,2,3,4
,"As atDecember 31, 2017(')","As atDecember 31, 2016(')",,
C.,CASH FLOW FROM FINANCING ACTIVITIES:,,,
,Dividend,,"(6,47,28,496)","(6,05,52,464)"
,Dividend Tax,,"(1,31,78,722)","(1,23,28,482)"
,Interest,,"(13,43,769)","(30,56,205)"
C.,Net Cash Used In Financing Activities,,"(7,92,50,987)","(7,59,37,151)"
,Net Increase/(Decrease) in cash and,,,
,cash equivalents (A+B+C),,"5,34,49,747","(1,11,63,679)"
,Cash and Cash Equivalents as at the beginning of the,year,"7,62,81,063","8,74,44,742"
,Cash and Cash Equivalents as at the end of the year,,"12,97,30,810","7,62,81,063"
,Cash and Cash Equivalents at the end of the year comprise :,,,
,Cash on hand,,"1,53,040","2,78,950"
,Cheques on hand,,"1,15,45,390",-
,Bank Balances :,,,
,- In Current Accounts,,"7,30,32,380","5,60,02,113"
,- Deposits with maturity less than 3 months,,"4,50,00,000","2,00,00,000"
,Cash and Cash Equivalents (Refer Note 17),,"12,97,30,810","7,62,81,063"
Note :,,,,
1.,The above Cash Flow Statement has been prepared,under,"the ""Indirect Method""",set out in Accounting
