0,1,2,3
,(INR in Crores),,
Particulars,For the year ended,For the year ended,
,"March 31, 2018","March 31, 2017",
Cash flow from financing activities,,,
Proceeds from issue of equity shares (including premium),5.60,-,
Buyback of equity share capital,(65.32),(14.40),
Dividend paid,(34.20),(50.02),
Dividend distribution tax paid,(6.95),(10.18),
Proceeds from long-term borrowings,313.02,277.94,
Repayment of long-term borrowings,(266.65),(255.01),
Proceeds from short-term borrowings,(138.42),98.64,
Unpaid dividend account ( Net),(0.02),(0.54),
Bank depsoit in escrow account and Margin Money,11.64,(22.60),
Interest paid,(126.53),(136.78),
Net cash generated from financing activities,(307.83),(112.95),
Net (decrease) / increase in cash and cash equivalents,2.29,(29.62),
Cash and cash equivalents at the beginning of the year,9.29,38.91,
Cash and cash equivalents at the end of the year,11.58,9.29,
Components of cash and cash equivalents,,,
Cash on hand,0.17,0.14,Mi
Balances with banks:,,,
- On current accounts,11.41,9.15,
Total cash and cash equivalents (note 10),11.58,9.29,
